TF	Target
YAR050W	YBR138C
YAR050W	YBR139W
YAR050W	YBR144C
YAR050W	YBR145W
YAR050W	YBR150C
YAR050W	YBR157C
YAR050W	YBR159W
YAR050W	YBR169C
YAR050W	YBR182C-A
YAR050W	YBR201W
YAR050W	YBR202W
YAR050W	YBR213W
YAR050W	YBR214W
YAR050W	YBR235W
YAR050W	YBR238C
YAR050W	YBR239C
YAR050W	YBR240C
YAR050W	YBR242W
YAR050W	YBR248C
YAR050W	YBR257W
YAR050W	YBR272C
YAR050W	YBR283C
YAR050W	YBR287W
YAR050W	YBR290W
YAR050W	YBR291C
YAR050W	YBR293W
YAR050W	YBR302C
YAR050W	YCL001W-A
YAR050W	YCL018W
YAR050W	YCL031C
YAR050W	YCL036W
YAR050W	YCL038C
YAR050W	YCL040W
YAR050W	YCL042W
YAR050W	YCL057W
YAR050W	YCL061C
YAR050W	YCR012W
YAR050W	YCR014C
YAR050W	YCR018C
YAR050W	YCR020W-B
YAR050W	YCR021C
YAR050W	YCR023C
YAR050W	YCR024C
YAR050W	YCR034W
YAR050W	YCR038C
YAR050W	YCR048W
YAR050W	YCR050C
YAR050W	YCR060W
YAR050W	YCR063W
YAR050W	YCR065W
YAR050W	YCR066W
YAR050W	YCR073C
YAR050W	YCR092C
YAR050W	YCR093W
YAR050W	YCR094W
YAR050W	YCR101C
YAR050W	YCR102C
YAR050W	YCR106W
YAR050W	YDL001W
YAR050W	YDL007W
YAR050W	YDL016C
YAR050W	YDL020C
YAR050W	YDL021W
YAR050W	YDL022W
YAR050W	YDL037C
YAR050W	YDL039C
YAR050W	YDL040C
YAR050W	YDL045W-A
YAR050W	YDL047W
YAR050W	YDL048C
YAR050W	YDL049C
YAR050W	YDL055C
YAR050W	YDL070W
YAR050W	YDL072C
YAR050W	YDL097C
YAR050W	YDL106C
YAR050W	YDL110C
YAR050W	YDL124W
YAR050W	YDL146W
YAR050W	YDL149W
YAR050W	YDL154W
YAR050W	YDL159W-A
YAR050W	YDL176W
YAR050W	YDL183C
YAR050W	YDL189W
YAR050W	YDL209C
YAR050W	YDL210W
YAR050W	YDL215C
YAR050W	YDL220C
YAR050W	YDL234C
YAR050W	YDL241W
YAR050W	YDL247W
YAR050W	YDR003W-A
YAR050W	YDR010C
YAR050W	YDR011W
YAR050W	YDR037W
YAR050W	YDR050C
YAR050W	YDR055W
YAR050W	YDR058C
YAR050W	YDR065W
YAR050W	YDR070C
YAR050W	YDR074W
YAR050W	YDR076W
YAR050W	YDR077W
YAR050W	YDR078C
YAR050W	YDR082W
YAR050W	YDR083W
YAR050W	YDR088C
YAR050W	YDR100W
YAR050W	YDR110W
YAR050W	YDR111C
YAR050W	YDR115W
YAR050W	YDR133C
YAR050W	YDR147W
YAR050W	YDR152W
YAR050W	YDR171W
YAR050W	YDR172W
YAR050W	YDR173C
YAR050W	YDR179C
YAR050W	YDR192C
YAR050W	YDR207C
YAR050W	YDR208W
YAR050W	YDR211W
YAR050W	YDR219C
YAR050W	YDR232W
YAR050W	YDR233C
YAR050W	YDR246W
YAR050W	YDR253C
YAR050W	YDR259C
YAR050W	YDR276C
YAR050W	YDR281C
YAR050W	YDR298C
YAR050W	YDR309C
YAR050W	YDR312W
YAR050W	YDR317W
YAR050W	YDR342C
YAR050W	YDR343C
YAR050W	YDR345C
YAR050W	YDR354W
YAR050W	YDR363W-A
YAR050W	YDR384C
YAR050W	YDR385W
YAR050W	YDR391C
YAR050W	YDR394W
YAR050W	YDR441C
YAR050W	YDR448W
YAR050W	YDR454C
YAR050W	YDR456W
YAR050W	YDR460W
YAR050W	YDR464W
YAR050W	YDR481C
YAR050W	YDR495C
YAR050W	YDR497C
YAR050W	YDR504C
YAR050W	YDR505C
YAR050W	YDR508C
YAR050W	YDR510W
YAR050W	YDR513W
YAR050W	YDR515W
YAR050W	YDR518W
YAR050W	YDR524C
YAR050W	YDR524W-C
