Gene;Gene_ID;Phenotype;Essentiality_0_1
CAB1;YDR531W;viable;0
CAB1;YDR531W;viable;0
CAB1;YDR531W;viable;0
CAB1;YDR531W;viable;0
CAB1;YDR531W;viable;0
CAB1;YDR531W;viable;0
CAC2;YML102W;viable;0
CAC2;YML102W;viable;0
CAD1;YDR423C;viable;0
CAD1;YDR423C;viable;0
CAD1;YDR423C;viable;0
CAF120;YNL278W;viable;0
CAF120;YNL278W;viable;0
CAF130;YGR134W;viable;0
CAF130;YGR134W;viable;0
CAF16;YFL028C;viable;0
CAF16;YFL028C;viable;0
CAF20;YOR276W;viable;0
CAF20;YOR276W;viable;0
CAF4;YKR036C;viable;0
CAF4;YKR036C;viable;0
CAF40;YNL288W;viable;0
CAJ1;YER048C;viable;0
CAL4;YJR011C;viable;0
CAM1;YPL048W;viable;0
CAN1;YEL063C;viable;0
CAP1;YKL007W;viable;0
CAP2;YIL034C;viable;0
CAR1;YPL111W;viable;0
CAR1;YPL111W;viable;0
CAR2;YLR438W;viable;0
CAT2;YML042W;viable;0
CAT5;YOR125C;viable;0
CAT8;YMR280C;viable;0
CAT8;YMR280C;viable;0
CAX4;YGR036C;viable;0
CBC2;YPL178W;viable;0
CBF1;YJR060W;viable;0
CBK1;YNL161W;viable;0
CBP1;YJL209W;viable;0
CBP2;YHL038C;viable;0
CBP3;YPL215W;viable;0
CBP4;YGR174C;viable;0
CBP6;YBR120C;viable;0
CBR1;YIL043C;viable;0
CBS1;YDL069C;viable;0
CBS1;YDL069C;viable;0
CBS2;YDR197W;viable;0
CBT1;YKL208W;viable;0
CBT1;YKL208W;viable;0
CCC1;YLR220W;viable;0
CCC1;YLR220W;viable;0
CCC2;YDR270W;viable;0
CCE1;YKL011C;viable;0
CCH1;YGR217W;viable;0
CCM1;YGR150C;viable;0
CCP1;YKR066C;viable;0
CCR4;YAL021C;viable;0
CCR4;YAL021C;viable;0
CCR4;YAL021C;viable;0
CCS1;YMR038C;viable;0
CCW12;YLR110C;viable;0
CCW14;YLR390W-A;viable;0
CCW22;YDR134C;viable;0
CCZ1;YBR131W;viable;0
CCZ1;YBR131W;viable;0
CCZ1;YBR131W;viable;0
CDA1;YLR307W;viable;0
CDA2;YLR308W;viable;0
CDC10;YCR002C;viable;0
CDC26;YFR036W;viable;0
CDC36;YDL165W;viable;0
CDC36;YDL165W;viable;0
CDC39;YCR093W;viable;0
CDC39;YCR093W;viable;0
CDC40;YDR364C;viable;0
CDC40;YDR364C;viable;0
CDC50;YCR094W;viable;0
CDC55;YGL190C;viable;0
CDC73;YLR418C;viable;0
